utr_id	fc	utr8	utr7m8	utr7A1
FBgn0000008	-0.656	0	0	0
FBgn0000017	0.296	1	0	0
FBgn0000018	-0.373	0	0	0
FBgn0000032	0.144	0	0	0
FBgn0000042	-0.060	0	0	0
FBgn0000043	0.007	0	0	0
FBgn0000052	-0.353	0	0	0
FBgn0000053	0.079	0	0	0
FBgn0000054	-0.185	0	0	0
FBgn0000057	0.127	0	0	0
FBgn0000063	0.412	0	0	0
FBgn0000064	-0.215	0	0	0
FBgn0000071	-2.675	0	0	0
FBgn0000077	-0.236	0	0	0
FBgn0000083	-0.313	0	0	0
FBgn0000084	-2.149	0	0	0
FBgn0000094	0.765	0	0	0
FBgn0000097	-0.234	0	0	0
FBgn0000100	-0.112	0	0	0
FBgn0000109	0.612	0	0	0
FBgn0000115	0.180	0	0	0
FBgn0000116	-0.467	0	0	0
FBgn0000117	0.166	0	0	0
FBgn0000119	-1.007	0	0	0
FBgn0000139	-0.391	0	0	0
FBgn0000140	0.307	0	0	0
FBgn0000147	0.332	0	0	0
FBgn0000150	0.035	0	0	0
FBgn0000152	-0.570	0	0	0
FBgn0000173	-0.519	0	0	0
FBgn0000181	0.004	0	0	0
FBgn0000183	0.183	0	0	0
FBgn0000212	0.043	0	0	0
FBgn0000221	0.365	0	0	0
FBgn0000228	-0.111	0	0	0
FBgn0000229	0.437	0	0	0
FBgn0000239	0.210	0	0	0
FBgn0000244	0.334	0	0	0
FBgn0000247	-0.104	0	0	0
FBgn0000250	0.273	0	0	0
FBgn0000253	-0.529	0	0	0
FBgn0000256	0.175	0	0	0
FBgn0000257	-0.138	0	0	0
FBgn0000259	0.349	0	0	0
FBgn0000261	-0.684	0	0	0
FBgn0000276	0.883	0	0	0
FBgn0000277	1.047	0	0	0
FBgn0000278	-0.163	0	0	0
FBgn0000279	0.292	0	0	0
FBgn0000283	0.156	0	0	0
FBgn0000289	0.091	0	0	0
FBgn0000299	0.314	0	0	0
FBgn0000308	-0.130	0	0	0
FBgn0000316	-0.428	0	0	0
FBgn0000317	0.016	0	0	0
FBgn0000318	-0.261	0	0	0
FBgn0000319	0.028	0	0	0
