utr_id	avg_expr	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1
FBgn0000008	7.507	0.229	0.575	3990	0.349	876	0.326	307	0	0	0	0	0	0
FBgn0000017	8.247	-0.083	0.583	5172	0.456	739	0.478	404	0	0	0	0	0	0
FBgn0000018	6.277	0.399	0.506	1620	0.469	81	0.226	93	0	0	0	1	0	0
FBgn0000024	11.069	-0.051	0.587	1950	0.494	997	0.366	1416	0	0	0	0	0	0
FBgn0000028	7.318	-0.038	0.556	1191	0.437	750	0.473	749	0	0	0	0	0	0
FBgn0000032	7.960	0.635	0.511	1368	0.481	81	0.334	440	0	0	0	0	0	0
FBgn0000037	10.710	0.121	0.601	2418	0.491	870	0.405	2137	0	0	0	0	0	0
FBgn0000038	11.312	-0.057	0.533	1566	0.396	240	0.347	654	0	0	0	0	0	0
FBgn0000039	9.845	-0.178	0.541	1731	0.461	521	0.348	135	0	0	0	0	0	0
FBgn0000042	11.912	0.072	0.591	1131	0.373	161	0.400	345	0	0	0	0	0	0
FBgn0000043	9.740	-0.102	0.554	1131	0.363	135	0.400	360	0	0	0	0	0	0
FBgn0000044	7.944	0.004	0.587	1131	0.375	96	0.410	497	0	0	0	0	0	0
FBgn0000045	9.104	0.666	0.609	1131	0.504	141	0.441	347	0	0	0	0	0	0
FBgn0000052	7.438	0.128	0.565	4065	0.597	139	0.241	133	0	0	0	0	0	0
FBgn0000053	8.266	0.436	0.569	4062	0.461	193	0.267	225	0	0	0	0	0	0
FBgn0000054	10.528	0.215	0.565	825	0.475	198	0.364	645	0	0	0	0	0	0
FBgn0000057	7.229	-0.155	0.555	1887	0.516	190	0.336	214	0	0	0	0	0	0
FBgn0000064	10.732	-0.068	0.609	1092	0.375	259	0.424	396	0	0	0	0	0	0
FBgn0000077	7.702	0.103	0.546	855	0.382	275	0.281	292	0	0	0	0	0	0
FBgn0000083	10.694	0.036	0.590	975	0.351	94	0.325	388	0	0	0	0	0	0
FBgn0000084	11.143	-0.004	0.630	966	0.470	134	0.449	147	0	0	0	0	0	0
