utr_id	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr5p8	utr5p7m8	utr5p7A1	utr5p6	utr5po6	utr5p6A1	orf8	orf7m8	orf7A1	orf6	orfo6	orf6A1	utr8C	utr8G	utr8T	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1	utr5	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2.fold_change.	test_stat	p_value	q_value	significant
FBgn0000008	0.0217099148769315	0.575	3990	0.349	876	0.326	307	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	FBgn0000008	a-RA,a-RB,a-RC,a-RD	chr2R:22136967-22174691	mock	miR263a	OK	5.5537	5.61009	0.0145731	0.0239119	0.9769	0.99985	no
FBgn0000017	-0.160736551631706	0.583	5172	0.456	739	0.344	6908	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	FBgn0000017	Abl-RA,Abl-RB,Abl-RC,Abl-RD,Abl-RE,Abl-RF,Abl-RG,Abl-RH,Abl-RI,Abl-RJ	chr3L:16615865-16647882	mock	miR263a	OK	11.0122	11.129	0.0152229	0.0451393	0.95565	0.99985	no
FBgn0000018	-0.00140905666172767	0.506	1620	0.469	81	0.237	93	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000018	abo-RA	chr2L:10973442-10975293	mock	miR263a	OK	71.4467	70.2541	-0.0242849	-0.0879408	0.9121	0.99985	no
FBgn0000032	0.210558603251488	0.511	1368	0.481	81	0.334	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	FBgn0000032	Acph-1-RA,Acph-1-RB	chr3R:29991143-29993411	mock	miR263a	OK	21.6141	30.2865	0.486704	1.35331	0.0964	0.99985	no
FBgn0000042	0.267223150575024	0.591	1131	0.373	161	0.403	1571	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	FBgn0000042	Act5C-RA,Act5C-RB,Act5C-RC,Act5C-RD,Act5C-RE	chrX:5900860-5905399	mock	miR263a	OK	2258.85	2687.93	0.250906	1.22831	0.1273	0.99985	no
FBgn0000043	0.101167320154296	0.554	1131	0.363	135	0.397	360	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000043	Act42A-RA	chr2R:6013909-6015689	mock	miR263a	OK	2955.97	3125.6	0.0805021	0.407014	0.61125	0.99985	no
FBgn0000052	-0.374543878902484	0.565	4065	0.597	139	0.241	133	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000052	ade2-RA,ade2-RB,ade2-RC	chr2L:6038116-6046050	mock	miR263a	OK	61.3439	48.4642	-0.34	-1.35595	0.09345	0.99985	no
FBgn0000053	-0.0519419227013022	0.569	4062	0.461	193	0.246	463	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	FBgn0000053	ade3-RA,ade3-RB,ade3-RC	chr2L:7013395-7023898	mock	miR263a	OK	64.047	65.6145	0.0348823	0.111563	0.8897	0.99985	no
FBgn0000054	-0.0557218766931691	0.565	825	0.475	198	0.363	645	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	FBgn0000054	Adf1-RA,Adf1-RB,Adf1-RC	chr2R:6662264-6668085	mock	miR263a	OK	56.5244	55.1624	-0.0351882	-0.118626	0.8842	0.99985	no
FBgn0000057	-0.115065139240547	0.555	1887	0.516	190	0.332	214	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000057	adp-RA,adp-RB	chr2R:18151703-18154060	mock	miR263a	OK	29.6782	25.5105	-0.21831	-0.654402	0.41415	0.99985	no
FBgn0000063	0.138397534932577	0.51	2019	0.33	100	0.273	22	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	FBgn0000063	Mps1-RA,Mps1-RB	chr3R:17671270-17682515	mock	miR263a	OK	17.4212	18.0543	0.0514995	0.0570971	0.9341	0.99985	no
FBgn0000064	-0.189404612341539	0.609	1092	0.375	259	0.424	396	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000064	Ald-RB,Ald-RC,Ald-RD,Ald-RE,Ald-RH,Ald-RI,Ald-RJ,Ald-RK,Ald-RL,Ald-RM	chr3R:26254068-26261591	mock	miR263a	OK	110.679	90.5929	-0.288918	-1.02802	0.2025	0.99985	no
FBgn0000071	-2.49480057247283	0.593	1026	0.434	387	0.412	420	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000071	Ama-RA,Ama-RB,Ama-RC	chr3R:6762592-6765261	mock	miR263a	OK	23.5769	3.6921	-2.67486	-3.58522	0.0023	0.149607	no
FBgn0000077	0.32531115784596	0.546	855	0.382	275	0.281	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000077	amx-RA,amx-RB	chrX:9243816-9247336	mock	miR263a	OK	21.8768	22.2518	0.0245234	0.0459953	0.95405	0.99985	no
FBgn0000083	0.318205121066125	0.59	975	0.351	94	0.325	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000083	AnxB9-RA,AnxB9-RB,AnxB9-RC,AnxB9-RD,AnxB9-RE,AnxB9-RF	chr3R:21065240-21073319	mock	miR263a	OK	723.559	899.569	0.314124	1.40904	0.0803	0.99985	no
FBgn0000084	0.187749589675526	0.63	966	0.47	134	0.456	147	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	FBgn0000084	AnxB10-RA,AnxB10-RB	chrX:20170221-20173514	mock	miR263a	OK	212.404	210.981	-0.00970123	-0.0375218	0.96265	0.99985	no
FBgn0000094	-0.376830751701812	0.425	174	0.378	37	0.278	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000094	Anp-RA,Anp-RB	chr3R:30209947-30210382	mock	miR263a	OK	108.202	105.095	-0.0420306	-0.0519013	0.9405	0.99985	no
FBgn0000097	-0.294106805831861	0.576	2199	0.457	1056	0.35	1681	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	FBgn0000097	aop-RA,aop-RB,aop-RC,aop-RD,aop-RE	chr2L:2155752-2178754	mock	miR263a	OK	9.8744	8.08761	-0.28798	-0.698942	0.38695	0.99985	no
FBgn0000100	-0.156706979978369	0.593	954	0.47	202	0.517	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000100	RpLP0-RA,RpLP0-RB	chr3L:22075866-22077487	mock	miR263a	OK	3481.46	3375.95	-0.044397	-0.223192	0.7842	0.99985	no
FBgn0000109	-0.110871253284568	0.545	549	0.383	107	0.298	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000109	Aprt-RA,Aprt-RC,Aprt-RD	chr3L:1883794-1885019	mock	miR263a	OK	25.1816	20.6568	-0.285758	-0.504798	0.53325	0.99985	no
FBgn0000115	0.020887222060745	0.586	543	0.38	142	0.371	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000115	Arl1-RA	chr3L:15983134-15987815	mock	miR263a	OK	129.895	120.504	-0.10827	-0.285922	0.72095	0.99985	no
FBgn0000116	2.89374464509795	0.578	1689	0.421	330	0.428	495	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	FBgn0000116	Argk-RA,Argk-RB,Argk-RC,Argk-RD,Argk-RE,Argk-RG,Argk-RH	chr3L:9048780-9066027	mock	miR263a	OK	10.0448	87.912	3.12961	6.5454	5e-05	0.00737857	yes
FBgn0000117	0.0523676165795426	0.566	2532	0.479	259	0.431	429	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	FBgn0000117	arm-RA,arm-RB,arm-RC,arm-RD,arm-RE,arm-RF	chrX:1890255-1900646	mock	miR263a	OK	254.064	261.418	0.0411659	0.190566	0.81	0.99985	no
FBgn0000119	-0.709602522423609	0.531	5037	0.466	191	0.289	796	0	0	0	0	0	0	0	1	0	2	5	2	0	0	0	0	0	0	0	1	0	0	FBgn0000119	arr-RA	chr2R:13453639-13483229	mock	miR263a	OK	11.1059	6.64173	-0.741691	-2.14155	0.00975	0.370965	no
FBgn0000139	-0.127619286199293	0.548	1671	0.471	104	0.299	174	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	FBgn0000139	ash2-RB,ash2-RC,ash2-RE	chr3R:24650124-24654820	mock	miR263a	OK	39.55	50.0396	0.339393	0.938618	0.24495	0.99985	no
FBgn0000140	0.0532891187008051	0.515	5865	0.401	192	0.253	281	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	FBgn0000140	asp-RA	chr3R:24753848-24760513	mock	miR263a	OK	17.033	18.4625	0.116268	0.415813	0.6041	0.99985	no
FBgn0000147	0.0389630248450504	0.541	1236	0.458	168	0.249	173	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000147	aurA-RA	chr3R:11963123-11967691	mock	miR263a	OK	31.873	31.7317	-0.00640797	-0.0116653	0.9874	0.99985	no
FBgn0000150	-0.0264499001606037	0.606	507	0.485	134	0.337	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000150	awd-RC,awd-RD,awd-RE	chr3R:31744281-31746077	mock	miR263a	OK	4856.21	4603.74	-0.0770233	-0.378565	0.63715	0.99985	no
FBgn0000152	0.241281806541408	0.537	1941	0.404	455	0.408	179	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000152	Axs-RA	chrX:16679296-16683895	mock	miR263a	OK	15.2695	19.465	0.350226	0.929478	0.2471	0.99985	no
FBgn0000173	-0.00388793399604978	0.564	456	0.427	358	0.295	1189	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000173	ben-RA,ben-RB,ben-RC,ben-RD,ben-RE	chrX:13996344-13999805	mock	miR263a	OK	51.2729	52.4891	0.0338209	0.0834311	0.91445	0.99985	no
FBgn0000181	-0.131997423682996	0.608	510	0.415	82	0.426	882	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	FBgn0000181	bic-RA,bic-RB	chr2R:12870248-12871794	mock	miR263a	OK	1348.73	1351.66	0.00312751	0.0147238	0.98545	0.99985	no
FBgn0000183	0.340271952523142	0.526	2409	0.464	891	0.329	849	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	FBgn0000183	BicD-RB,BicD-RC,BicD-RD	chr2L:17459604-17474773	mock	miR263a	OK	22.396	25.6038	0.193117	0.414815	0.60505	0.99985	no
FBgn0000212	-0.05870101214183	0.549	4977	0.433	127	0.294	235	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000212	brm-RA,brm-RB,brm-RC,brm-RD,brm-RF	chr3L:15970081-15982869	mock	miR263a	OK	51.554	48.7448	-0.0808374	-0.337091	0.68025	0.99985	no
FBgn0000221	0.333634056844225	0.599	978	0.34	144	0.369	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000221	brn-RA	chrX:4104341-4105791	mock	miR263a	OK	14.6512	21.8583	0.577166	1.17392	0.14615	0.99985	no
FBgn0000228	-0.068412824826732	0.566	3357	0.468	359	0.337	950	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000228	Bsg25D-RB,Bsg25D-RC,Bsg25D-RD,Bsg25D-RE,Bsg25D-RF,Bsg25D-RG,Bsg25D-RH	chr2L:5271727-5278548	mock	miR263a	OK	12.6861	11.7505	-0.110525	-0.265521	0.74195	0.99985	no
FBgn0000229	0.244530553328633	0.452	1119	0.415	532	0.26	146	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	FBgn0000229	bsk-RB,bsk-RE,bsk-RF	chr2L:10247501-10250501	mock	miR263a	OK	52.2244	60.5181	0.212643	0.722188	0.36765	0.99985	no
FBgn0000239	-0.0974315604901991	0.508	2052	0.503	372	0.327	692	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	FBgn0000239	bur-RB,bur-RC	chr2L:21174181-21179683	mock	miR263a	OK	32.2554	31.8861	-0.0166117	-0.0571105	0.9452	0.99985	no
FBgn0000244	0.121364349720764	0.555	2163	0.407	27	0.394	2584	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	1	0	1	2	FBgn0000244	by-RA,by-RC,by-RD	chr3R:9528237-9533011	mock	miR263a	OK	5.91919	7.28144	0.298824	0.57237	0.4754	0.99985	no
FBgn0000247	0.0955785080905378	0.553	5886	0.515	524	0.367	616	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	FBgn0000247	ca-RA,ca-RC	chr3R:29803195-29816451	mock	miR263a	OK	27.5028	31.7363	0.206556	0.437009	0.58915	0.99985	no
