utr_id	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr5p8	utr5p7m8	utr5p7A1	utr5p6	utr5po6	utr5p6A1	orf8	orf7m8	orf7A1	orf6	orfo6	orf6A1	utr8C	utr8G	utr8T	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1	utr5	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2.fold_change.	test_stat	p_value	q_value	significant
FBgn0000008	-0.65554109038457	0.575	3990	0.349	876	0.326	307	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	FBgn0000008	a-RA,a-RB,a-RC,a-RD	chr2R:22136967-22174691	mock	miR124	OK	5.59648	4.08975	-0.452507	-0.713901	0.3865	0.7735	no
FBgn0000017	0.296457540147438	0.583	5172	0.456	739	0.344	6908	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	2	FBgn0000017	Abl-RA,Abl-RB,Abl-RC,Abl-RD,Abl-RE,Abl-RF,Abl-RG,Abl-RH,Abl-RI,Abl-RJ	chr3L:16615865-16647882	mock	miR124	OK	11.0721	15.1038	0.447975	1.38136	0.08855	0.463574	no
FBgn0000018	-0.37339573918675	0.506	1620	0.469	81	0.237	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000018	abo-RA	chr2L:10973442-10975293	mock	miR124	OK	71.9383	51.0643	-0.494445	-1.71709	0.03655	0.305934	no
FBgn0000032	0.144030884418821	0.511	1368	0.481	81	0.334	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	FBgn0000032	Acph-1-RA,Acph-1-RB	chr3R:29991143-29993411	mock	miR124	OK	21.7694	27.9194	0.358966	0.995252	0.2195	0.660213	no
FBgn0000042	-0.059555641170547	0.591	1131	0.373	161	0.403	1571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000042	Act5C-RA,Act5C-RB,Act5C-RC,Act5C-RD,Act5C-RE	chrX:5900860-5905399	mock	miR124	OK	2275.81	1919.98	-0.245288	-1.19172	0.1383	0.545656	no
FBgn0000043	0.00708366815291484	0.554	1131	0.363	135	0.397	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000043	Act42A-RA	chr2R:6013909-6015689	mock	miR124	OK	2976.28	3012.11	0.0172668	0.0862092	0.91295	0.974896	no
FBgn0000052	-0.353212042307699	0.565	4065	0.597	139	0.241	133	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	FBgn0000052	ade2-RA,ade2-RB,ade2-RC	chr2L:6038116-6046050	mock	miR124	OK	61.7632	49.2969	-0.325248	-1.29325	0.1095	0.503123	no
FBgn0000053	0.0788965001714371	0.569	4062	0.461	193	0.246	463	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	FBgn0000053	ade3-RA,ade3-RB,ade3-RC	chr2L:7013395-7023898	mock	miR124	OK	64.4867	72.2792	0.164581	0.523954	0.5163	0.841242	no
FBgn0000054	-0.18471074984509	0.565	825	0.475	198	0.363	645	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000054	Adf1-RA,Adf1-RB,Adf1-RC	chr2R:6662264-6668085	mock	miR124	OK	56.9071	49.8443	-0.191179	-0.644287	0.41805	0.789	no
FBgn0000057	0.127182318385284	0.555	1887	0.516	190	0.332	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000057	adp-RA,adp-RB	chr2R:18151703-18154060	mock	miR124	OK	29.884	27.7206	-0.108412	-0.324359	0.68575	0.908907	no
FBgn0000063	0.411835025695182	0.51	2019	0.33	100	0.273	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000063	Mps1-RA,Mps1-RB	chr3R:17671270-17682515	mock	miR124	OK	17.555	24.6104	0.487387	0.542648	0.4399	0.80283	no
FBgn0000064	-0.214538042735525	0.609	1092	0.375	259	0.424	396	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	FBgn0000064	Ald-RB,Ald-RC,Ald-RD,Ald-RE,Ald-RH,Ald-RI,Ald-RJ,Ald-RK,Ald-RL,Ald-RM	chr3R:26254068-26261591	mock	miR124	OK	111.447	95.1248	-0.228462	-0.800317	0.3214	0.736985	no
FBgn0000071	-2.6752715597204	0.593	1026	0.434	387	0.412	420	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	FBgn0000071	Ama-RA,Ama-RB,Ama-RC	chr3R:6762592-6765261	mock	miR124	OK	23.6951	2.70612	-3.13029	-3.8688	0.00135	0.0499364	yes
FBgn0000077	-0.235705215826295	0.546	855	0.382	275	0.281	292	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000077	amx-RA,amx-RB	chrX:9243816-9247336	mock	miR124	OK	22.0215	14.5641	-0.596492	-1.03013	0.2077	0.646647	no
FBgn0000083	-0.312878968656466	0.59	975	0.351	94	0.325	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000083	AnxB9-RA,AnxB9-RB,AnxB9-RC,AnxB9-RD,AnxB9-RE,AnxB9-RF	chr3R:21065240-21073319	mock	miR124	OK	728.738	539.032	-0.43503	-1.83659	0.0234	0.250925	no
FBgn0000084	-2.14850606200053	0.63	966	0.47	134	0.456	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	FBgn0000084	AnxB10-RA,AnxB10-RB	chrX:20170221-20173514	mock	miR124	OK	213.867	37.7976	-2.50034	-7.1434	5e-05	0.00508611	yes
FBgn0000094	0.765022228637448	0.425	174	0.378	37	0.278	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000094	Anp-RA,Anp-RB	chr3R:30209947-30210382	mock	miR124	OK	108.676	232.379	1.09645	1.42471	0.04995	0.358309	no
FBgn0000097	-0.234272133095123	0.576	2199	0.457	1056	0.35	1681	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	FBgn0000097	aop-RA,aop-RB,aop-RC,aop-RD,aop-RE	chr2L:2155752-2178754	mock	miR124	OK	9.92371	12.4128	0.322882	0.86741	0.28665	0.712518	no
FBgn0000100	-0.11162877107378	0.593	954	0.47	202	0.517	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000100	RpLP0-RA,RpLP0-RB	chr3L:22075866-22077487	mock	miR124	OK	3507.06	2903.92	-0.272257	-1.35469	0.0932	0.474355	no
FBgn0000109	0.611707545385103	0.545	549	0.383	107	0.298	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	FBgn0000109	Aprt-RA,Aprt-RC,Aprt-RD	chr3L:1883794-1885019	mock	miR124	OK	25.359	32.7699	0.369877	0.718199	0.37775	0.7684	no
FBgn0000115	0.180006464587427	0.586	543	0.38	142	0.371	178	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	FBgn0000115	Arl1-RA	chr3L:15983134-15987815	mock	miR124	OK	130.8	126.159	-0.0521127	-0.138218	0.8646	0.960719	no
FBgn0000116	-0.466967583014055	0.578	1689	0.421	330	0.428	495	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	FBgn0000116	Argk-RA,Argk-RB,Argk-RC,Argk-RD,Argk-RE,Argk-RG,Argk-RH	chr3L:9048780-9066027	mock	miR124	OK	10.1187	9.27158	-0.12614	-0.202744	0.80175	0.94269	no
FBgn0000117	0.166252065987114	0.566	2532	0.479	259	0.431	429	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000117	arm-RA,arm-RB,arm-RC,arm-RD,arm-RE,arm-RF	chrX:1890255-1900646	mock	miR124	OK	255.959	273.74	0.0968904	0.443006	0.58265	0.869147	no
FBgn0000119	-1.00738534987775	0.531	5037	0.466	191	0.289	796	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	1	0	0	FBgn0000119	arr-RA	chr2R:13453639-13483229	mock	miR124	OK	11.1799	6.25807	-0.837114	-2.37121	0.005	0.105838	no
FBgn0000139	-0.391378250137917	0.548	1671	0.471	104	0.299	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000139	ash2-RB,ash2-RC,ash2-RE	chr3R:24650124-24654820	mock	miR124	OK	39.8302	39.5593	-0.00984328	-0.0261366	0.97255	0.991641	no
FBgn0000140	0.307458720572308	0.515	5865	0.401	192	0.253	281	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000140	asp-RA	chr3R:24753848-24760513	mock	miR124	OK	17.147	27.4315	0.677878	2.5186	0.00255	0.0704762	no
FBgn0000147	0.331893328701582	0.541	1236	0.458	168	0.249	173	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000147	aurA-RA	chr3R:11963123-11967691	mock	miR124	OK	32.0984	39.6694	0.305528	0.557871	0.48995	0.828728	no
FBgn0000150	0.0348520915632899	0.606	507	0.485	134	0.337	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000150	awd-RC,awd-RD,awd-RE	chr3R:31744281-31746077	mock	miR124	OK	4891.53	4210.3	-0.216362	-1.0477	0.18895	0.625619	no
FBgn0000152	-0.570058853283246	0.537	1941	0.404	455	0.408	179	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	FBgn0000152	Axs-RA	chrX:16679296-16683895	mock	miR124	OK	15.3845	10.7526	-0.516791	-1.21791	0.13325	0.5401	no
FBgn0000173	-0.518710863757834	0.564	456	0.427	358	0.295	1189	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	FBgn0000173	ben-RA,ben-RB,ben-RC,ben-RD,ben-RE	chrX:13996344-13999805	mock	miR124	OK	51.5536	43.4482	-0.246777	-0.583361	0.4755	0.820005	no
FBgn0000181	0.00383741126268749	0.608	510	0.415	82	0.426	882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000181	bic-RA,bic-RB	chr2R:12870248-12871794	mock	miR124	OK	1358.57	1286.05	-0.079138	-0.369372	0.64465	0.893019	no
FBgn0000183	0.183365262990422	0.526	2409	0.464	891	0.329	849	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	FBgn0000183	BicD-RB,BicD-RC,BicD-RD	chr2L:17459604-17474773	mock	miR124	OK	22.5404	29.1005	0.368531	0.819429	0.3031	0.724512	no
FBgn0000212	0.0426681550317544	0.549	4977	0.433	127	0.294	235	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000212	brm-RA,brm-RB,brm-RC,brm-RD,brm-RF	chr3L:15970081-15982869	mock	miR124	OK	51.9056	57.506	0.147823	0.625765	0.4375	0.801429	no
FBgn0000221	0.365045504555342	0.599	978	0.34	144	0.369	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	FBgn0000221	brn-RA	chrX:4104341-4105791	mock	miR124	OK	14.754	19.4645	0.399739	0.793514	0.3312	0.741114	no
FBgn0000228	-0.110889863236242	0.566	3357	0.468	359	0.337	950	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	FBgn0000228	Bsg25D-RB,Bsg25D-RC,Bsg25D-RD,Bsg25D-RE,Bsg25D-RF,Bsg25D-RG,Bsg25D-RH	chr2L:5271727-5278548	mock	miR124	OK	12.7621	12.8676	0.0118747	0.0294759	0.9704	0.990966	no
FBgn0000229	0.437413575760641	0.452	1119	0.415	532	0.26	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000229	bsk-RB,bsk-RE,bsk-RF	chr2L:10247501-10250501	mock	miR124	OK	52.5733	80.8007	0.620038	2.17405	0.00845	0.143925	no
FBgn0000239	0.209882910625208	0.508	2052	0.503	372	0.327	692	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	FBgn0000239	bur-RB,bur-RC	chr2L:21174181-21179683	mock	miR124	OK	32.4563	44.2611	0.447542	1.58869	0.0525	0.365504	no
FBgn0000244	0.333664254257288	0.555	2163	0.407	27	0.394	2584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	FBgn0000244	by-RA,by-RC,by-RD	chr3R:9528237-9533011	mock	miR124	OK	5.95162	9.12855	0.617104	1.23207	0.12375	0.526639	no
FBgn0000247	-0.104216474609583	0.553	5886	0.515	524	0.367	616	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	FBgn0000247	ca-RA,ca-RC	chr3R:29803195-29816451	mock	miR124	OK	27.6978	32.8657	0.24681	0.510948	0.52185	0.845183	no
FBgn0000250	0.273197781802964	0.564	1503	0.415	159	0.379	343	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	FBgn0000250	cact-RA,cact-RB,cact-RC,cact-RD,cact-RE	chr2L:16310955-16326207	mock	miR124	OK	41.4313	52.8993	0.352525	0.762911	0.3433	0.749506	no
FBgn0000253	-0.528902295038723	0.533	450	0.406	207	0.349	5015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	FBgn0000253	Cam-RA,Cam-RB,Cam-RC,Cam-RD,Cam-RE	chr2R:12259397-12278809	mock	miR124	OK	34.6643	35.3975	0.0301983	0.0652526	0.93425	0.9812	no
FBgn0000256	0.17529195785039	0.559	4086	0.399	281	0.353	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000256	capu-RA,capu-RB,capu-RD,capu-RE,capu-RF,capu-RG,capu-RH,capu-RI,capu-RJ	chr2L:3872645-3902860	mock	miR124	OK	62.647	64.2359	0.0361351	0.147987	0.85895	0.959864	no
