utr_id	avg_expr	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1
FBgn0000008	5.678	0.281	0.575	3990	0.349	876	0.326	307	0	0	0	0	0	0
FBgn0000024	6.842	0.791	0.587	1950	0.494	997	0.350	5033	0	1	1	2	2	2
FBgn0000032	6.425	0.777	0.511	1368	0.481	81	0.334	440	0	2	1	0	0	0
FBgn0000038	6.281	-0.606	0.533	1566	0.396	240	0.347	654	0	0	0	0	0	0
FBgn0000042	11.452	0.448	0.591	1131	0.373	161	0.404	1571	0	0	0	0	0	0
FBgn0000043	9.923	0.137	0.554	1131	0.363	135	0.400	360	0	0	2	0	2	0
FBgn0000044	11.644	0.374	0.587	1131	0.375	96	0.410	497	0	0	0	0	0	0
FBgn0000045	9.410	-0.819	0.609	1131	0.504	141	0.441	347	0	0	0	0	0	1
FBgn0000046	9.558	-0.097	0.587	1131	0.432	81	0.431	641	0	0	0	0	0	0
FBgn0000052	8.317	0.632	0.565	4065	0.597	139	0.241	133	0	0	1	0	0	0
FBgn0000053	8.536	0.384	0.569	4062	0.461	193	0.248	463	0	0	0	0	0	0
FBgn0000054	7.533	0.182	0.565	825	0.475	198	0.364	645	0	0	0	0	0	0
FBgn0000057	4.918	0.264	0.555	1887	0.516	190	0.336	214	0	0	0	0	0	0
FBgn0000064	11.405	-0.124	0.609	1092	0.375	259	0.424	396	0	0	0	0	0	1
FBgn0000083	10.150	0.200	0.590	975	0.351	94	0.325	388	1	0	0	0	1	0
FBgn0000084	9.738	-0.320	0.630	966	0.470	134	0.449	147	0	0	0	0	0	0
FBgn0000094	10.976	-0.728	0.425	174	0.378	37	0.278	162	0	0	0	0	0	0
FBgn0000097	6.909	0.436	0.576	2199	0.457	1056	0.349	1681	0	0	0	0	0	3
FBgn0000100	12.169	-0.008	0.593	954	0.470	202	0.523	172	0	0	0	0	1	0
FBgn0000108	7.980	-0.250	0.593	2673	0.500	192	0.375	3466	0	1	0	0	0	1
FBgn0000109	5.025	1.396	0.545	549	0.383	107	0.303	238	1	0	0	0	0	0
FBgn0000114	8.858	-0.332	0.584	2433	0.397	353	0.291	1361	0	0	0	0	0	0
FBgn0000115	7.766	0.516	0.586	543	0.380	142	0.371	178	0	0	0	0	0	0
FBgn0000116	11.363	0.153	0.578	1689	0.421	330	0.430	495	0	0	0	1	0	0
FBgn0000117	8.831	0.161	0.566	2532	0.479	259	0.431	429	0	0	0	0	1	1
FBgn0000119	5.556	0.596	0.531	5037	0.466	191	0.289	796	1	0	0	0	0	2
FBgn0000120	11.195	0.423	0.566	1095	0.437	119	0.341	1113	0	1	0	1	1	1
FBgn0000121	12.509	0.007	0.551	1206	0.495	111	0.396	230	0	0	0	0	0	0
FBgn0000139	6.609	0.277	0.548	1671	0.471	104	0.299	174	0	0	0	0	0	1
FBgn0000150	10.880	0.101	0.606	507	0.485	134	0.326	86	0	0	0	0	0	0
FBgn0000153	7.691	-0.383	0.572	1728	0.468	139	0.362	268	0	0	0	0	0	1
FBgn0000163	5.498	0.691	0.585	4563	0.397	4957	0.401	6311	0	1	0	2	2	5
FBgn0000173	10.204	-0.026	0.564	456	0.427	358	0.295	1189	0	0	0	0	0	0
FBgn0000181	5.733	-0.033	0.608	510	0.415	82	0.427	882	0	0	0	0	0	0
FBgn0000182	5.217	-0.842	0.571	2718	0.452	560	0.332	552	0	0	0	1	0	1
FBgn0000183	7.046	0.384	0.526	2409	0.464	891	0.330	849	0	0	0	1	2	1
FBgn0000206	5.029	-0.079	0.522	2691	0.308	172	0.353	150	0	0	0	0	0	0
FBgn0000212	7.624	0.115	0.549	4977	0.433	127	0.294	235	0	0	0	0	0	1
FBgn0000228	7.824	0.057	0.566	3357	0.468	359	0.337	950	0	0	0	0	0	0
FBgn0000239	7.958	0.075	0.508	2052	0.503	372	0.328	692	0	0	0	1	0	0
FBgn0000244	7.427	0.272	0.555	2163	0.407	27	0.394	2584	0	0	0	5	1	0
FBgn0000247	4.950	0.096	0.553	5886	0.515	524	0.369	616	0	0	0	0	0	0
FBgn0000250	8.268	-0.275	0.564	1503	0.415	159	0.382	343	0	0	0	1	0	0
FBgn0000251	7.954	0.333	0.621	1338	0.406	377	0.419	855	0	0	0	0	0	1
FBgn0000253	10.475	-0.089	0.533	450	0.406	207	0.349	5015	0	1	0	1	0	2
FBgn0000256	8.376	-0.270	0.559	4086	0.399	281	0.348	184	0	0	0	0	0	0
FBgn0000257	5.301	0.728	0.601	1920	0.502	235	0.361	1018	0	0	1	1	1	1
FBgn0000261	10.828	0.287	0.569	1521	0.412	182	0.355	290	0	0	0	0	0	0
FBgn0000273	5.584	0.153	0.576	1062	0.486	1048	0.361	3202	0	0	0	0	0	2
FBgn0000283	7.284	0.464	0.524	3291	0.489	274	0.337	611	0	0	0	0	0	1
FBgn0000286	7.120	0.174	0.595	1533	0.414	319	0.325	2130	0	1	0	0	0	0
