utr_id	avg_expr	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1
FBgn0000008	7.290	-0.388	0.575	3990	0.349	876	0.326	307	0	0	0	0	0	0
FBgn0000017	4.687	-0.875	0.583	5172	0.456	739	0.478	404	0	0	0	0	0	0
FBgn0000024	9.083	-0.139	0.587	1950	0.494	997	0.366	1416	0	0	0	0	0	0
FBgn0000032	6.341	0.816	0.511	1368	0.481	81	0.334	440	0	1	0	0	0	0
FBgn0000037	8.814	0.050	0.601	2418	0.491	870	0.405	2137	0	0	0	0	0	0
FBgn0000038	10.636	-0.513	0.533	1566	0.396	240	0.347	654	0	0	0	0	0	0
FBgn0000039	6.537	-0.330	0.541	1731	0.461	521	0.348	135	0	0	0	0	0	0
FBgn0000042	11.697	0.536	0.591	1131	0.373	161	0.400	345	0	0	0	0	0	0
FBgn0000043	7.612	0.652	0.554	1131	0.363	135	0.400	360	0	0	0	0	0	0
FBgn0000044	12.396	-0.380	0.587	1131	0.375	96	0.410	497	0	0	0	0	0	1
FBgn0000045	8.189	-0.721	0.609	1131	0.504	141	0.441	347	0	0	0	0	0	0
FBgn0000046	9.756	0.035	0.587	1131	0.432	81	0.392	355	0	0	0	0	0	0
FBgn0000052	9.270	1.251	0.565	4065	0.597	139	0.241	133	0	0	0	0	0	0
FBgn0000053	9.992	-0.282	0.569	4062	0.461	193	0.267	225	0	0	0	0	1	0
FBgn0000054	8.989	0.009	0.565	825	0.475	198	0.364	645	0	0	0	0	0	0
FBgn0000057	5.590	0.525	0.555	1887	0.516	190	0.336	214	0	0	0	0	1	0
FBgn0000064	11.672	0.838	0.609	1092	0.375	259	0.424	396	0	0	0	0	0	0
FBgn0000077	4.702	-0.041	0.546	855	0.382	275	0.281	292	0	0	0	0	0	0
FBgn0000083	10.176	0.816	0.590	975	0.351	94	0.325	388	0	0	0	0	0	0
FBgn0000084	11.067	0.273	0.630	966	0.470	134	0.449	147	0	0	0	0	0	0
FBgn0000097	8.381	-0.030	0.576	2199	0.457	1056	0.369	738	0	0	0	0	0	0
FBgn0000100	12.428	0.037	0.593	954	0.470	202	0.523	172	0	0	0	0	0	0
FBgn0000108	11.462	-0.558	0.593	2673	0.500	192	0.408	2552	0	0	0	0	0	0
FBgn0000109	6.330	1.214	0.545	549	0.383	107	0.319	141	0	0	0	0	0	0
FBgn0000114	9.338	-0.169	0.584	2433	0.397	353	0.469	143	0	0	0	0	0	0
FBgn0000115	7.071	0.361	0.586	543	0.380	142	0.371	178	0	0	0	0	0	0
FBgn0000116	12.151	-0.122	0.578	1689	0.421	330	0.508	396	0	0	0	0	0	0
FBgn0000117	10.782	-0.004	0.566	2532	0.479	259	0.431	429	0	0	0	0	0	0
FBgn0000119	8.390	0.190	0.531	5037	0.466	191	0.289	796	0	0	0	1	0	0
FBgn0000120	13.120	-0.175	0.566	1095	0.437	119	0.321	221	0	0	0	0	0	0
FBgn0000121	13.432	-0.064	0.551	1206	0.495	111	0.396	230	0	0	0	0	0	0
FBgn0000139	7.190	0.742	0.548	1671	0.471	104	0.299	174	0	0	0	0	1	0
FBgn0000150	10.760	0.156	0.606	507	0.485	134	0.326	86	0	0	0	0	0	0
FBgn0000153	6.869	-0.021	0.572	1728	0.468	139	0.371	159	0	0	0	0	0	0
FBgn0000157	4.881	-0.147	0.636	1044	0.488	615	0.525	585	0	0	0	0	0	0
FBgn0000163	7.595	0.056	0.585	4563	0.397	4957	0.401	6311	0	0	0	1	2	4
FBgn0000173	11.311	0.008	0.564	456	0.427	358	0.457	151	0	0	0	0	0	0
FBgn0000179	5.226	-0.488	0.587	3072	0.361	675	0.374	674	0	0	0	0	0	0
FBgn0000180	6.487	1.423	0.593	2214	0.462	305	0.353	757	0	0	2	0	0	0
FBgn0000181	6.044	0.170	0.608	510	0.415	82	0.527	328	0	0	0	0	0	0
FBgn0000183	8.399	0.043	0.526	2409	0.464	891	0.330	849	0	0	0	0	0	0
FBgn0000206	10.243	-0.009	0.522	2691	0.308	172	0.353	150	0	0	0	0	0	0
FBgn0000212	8.586	-0.206	0.549	4977	0.433	127	0.294	235	0	0	0	0	0	0
FBgn0000228	8.969	-0.078	0.566	3357	0.468	359	0.337	950	0	0	0	0	0	0
FBgn0000229	8.813	0.196	0.452	1119	0.415	532	0.260	146	0	0	0	0	0	0
FBgn0000239	7.991	0.367	0.508	2052	0.503	372	0.356	491	0	0	0	0	0	0
FBgn0000241	5.548	-0.149	0.586	2029	0.533	261	0.308	208	0	0	0	0	0	0
FBgn0000244	9.237	-0.077	0.555	2163	0.407	27	0.634	82	0	0	0	0	0	0
FBgn0000247	7.028	0.017	0.553	5886	0.515	524	0.414	415	0	0	0	0	0	0
FBgn0000250	8.728	-0.164	0.564	1503	0.415	159	0.401	282	0	0	0	0	0	0
FBgn0000253	12.584	-0.131	0.533	450	0.406	207	0.388	116	0	1	0	0	0	0
FBgn0000256	6.501	-0.436	0.559	4086	0.399	281	0.341	170	0	0	0	0	0	0
FBgn0000257	8.107	-0.364	0.601	1920	0.502	235	0.361	1018	0	0	0	0	0	0
FBgn0000259	6.683	-0.074	0.507	708	0.430	158	0.358	1526	0	0	0	0	0	0
