utr_id	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr5p8	utr5p7m8	utr5p7A1	utr5p6	utr5po6	utr5p6A1	orf8	orf7m8	orf7A1	orf6	orfo6	orf6A1	utr8C	utr8G	utr8T	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1	utr5	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2.fold_change.	test_stat	p_value	q_value	significant
FBgn0000008	0.670667436651617	0.575	3990	0.349	876	0.326	307	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	FBgn0000008	a-RA,a-RB,a-RC,a-RD	chr2R:22136967-22174691	mock	miR92a	OK	5.6137	8.42061	0.584973	0.988621	0.22725	0.693468	no
FBgn0000017	-0.684386453318569	0.583	5172	0.456	739	0.344	6908	0	0	0	0	1	0	0	0	1	2	0	2	0	1	0	0	1	0	2	0	2	3	FBgn0000017	Abl-RA,Abl-RB,Abl-RC,Abl-RD,Abl-RE,Abl-RF,Abl-RG,Abl-RH,Abl-RI,Abl-RJ	chr3L:16615865-16647882	mock	miR92a	OK	11.1085	8.61144	-0.36734	-1.0331	0.2084	0.666843	no
FBgn0000018	-0.145788133054466	0.506	1620	0.469	81	0.237	93	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000018	abo-RA	chr2L:10973442-10975293	mock	miR92a	OK	72.1978	51.0614	-0.499722	-1.73815	0.03405	0.252923	no
FBgn0000032	-0.0603396089143091	0.511	1368	0.481	81	0.334	440	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000032	Acph-1-RA,Acph-1-RB	chr3R:29991143-29993411	mock	miR92a	OK	21.8473	24.4835	0.164353	0.446243	0.57045	0.889999	no
FBgn0000042	-0.34335004234431	0.591	1131	0.373	161	0.403	1571	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	FBgn0000042	Act5C-RA,Act5C-RB,Act5C-RC,Act5C-RD,Act5C-RE	chrX:5900860-5905399	mock	miR92a	OK	2283.1	1815.3	-0.330782	-1.60988	0.04455	0.297825	no
FBgn0000043	-0.115221243449701	0.554	1131	0.363	135	0.397	360	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000043	Act42A-RA	chr2R:6013909-6015689	mock	miR92a	OK	2986.74	2735.78	-0.12662	-0.631122	0.44045	0.837253	no
FBgn0000052	0.641770491673839	0.565	4065	0.597	139	0.241	133	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000052	ade2-RA,ade2-RB,ade2-RC	chr2L:6038116-6046050	mock	miR92a	OK	61.9719	73.3779	0.243733	0.998519	0.2122	0.672125	no
FBgn0000053	0.425532001966673	0.569	4062	0.461	193	0.246	463	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	1	FBgn0000053	ade3-RA,ade3-RB,ade3-RC	chr2L:7013395-7023898	mock	miR92a	OK	64.6897	91.7373	0.503972	1.62881	0.0411	0.283421	no
FBgn0000054	-0.0514051800978552	0.565	825	0.475	198	0.363	645	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	FBgn0000054	Adf1-RA,Adf1-RB,Adf1-RC	chr2R:6662264-6668085	mock	miR92a	OK	57.1205	48.9895	-0.221536	-0.744527	0.3484	0.790773	no
FBgn0000057	-0.590483284767214	0.555	1887	0.516	190	0.332	214	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	FBgn0000057	adp-RA,adp-RB	chr2R:18151703-18154060	mock	miR92a	OK	29.9882	17.0377	-0.815659	-2.23003	0.00755	0.0872176	no
