utr_id	fc	utr8	utr7m8	utr7A1
FBgn0000008	0.585	0	0	0
FBgn0000017	-0.367	1	0	0
FBgn0000018	-0.500	0	0	0
FBgn0000032	0.164	0	0	0
FBgn0000042	-0.331	0	0	0
FBgn0000043	-0.127	0	0	0
FBgn0000052	0.244	0	0	0
FBgn0000053	0.504	0	0	0
FBgn0000054	-0.222	0	0	0
FBgn0000057	-0.816	0	0	0
FBgn0000063	0.576	0	0	0
FBgn0000064	0.117	0	0	0
FBgn0000071	-0.712	0	0	0
FBgn0000077	-0.565	0	0	0
FBgn0000083	-0.511	0	0	0
FBgn0000084	-1.002	0	0	0
FBgn0000094	0.237	0	0	0
FBgn0000097	0.041	0	0	0
FBgn0000100	0.156	0	0	0
FBgn0000109	-0.464	0	0	0
FBgn0000115	-0.388	0	0	0
FBgn0000116	-0.361	0	0	0
FBgn0000117	-0.231	0	0	0
FBgn0000119	-0.064	0	0	0
FBgn0000139	0.974	0	0	0
FBgn0000140	0.483	0	0	0
FBgn0000147	0.294	0	0	0
FBgn0000150	-0.063	0	0	0
FBgn0000152	-0.210	0	0	0
FBgn0000173	-0.048	0	0	0
FBgn0000181	0.268	0	0	0
FBgn0000183	-0.353	0	0	0
FBgn0000212	-0.048	0	0	0
FBgn0000221	-1.400	0	0	0
FBgn0000228	0.125	0	0	0
FBgn0000229	0.271	0	0	0
FBgn0000239	0.292	0	0	0
FBgn0000244	0.400	0	0	0
FBgn0000247	0.348	0	0	0
FBgn0000250	-0.020	0	0	0
FBgn0000253	-0.250	0	0	0
FBgn0000256	-0.764	0	0	0
FBgn0000257	-0.413	0	0	0
FBgn0000259	0.316	0	0	0
FBgn0000261	-0.654	0	0	0
FBgn0000276	-1.226	0	0	0
FBgn0000277	-1.924	0	0	0
FBgn0000278	-1.204	0	0	0
FBgn0000279	0.017	0	0	0
FBgn0000283	0.106	0	0	0
FBgn0000289	0.533	0	0	0
FBgn0000299	-0.891	0	0	0
FBgn0000308	-0.083	0	0	0
FBgn0000316	0.042	0	0	0
FBgn0000317	-0.243	0	0	0
FBgn0000318	-0.567	0	0	0
FBgn0000319	-0.142	0	0	0
FBgn0000326	-0.177	0	0	0
FBgn0000330	0.153	0	0	0
FBgn0000339	-0.122	0	0	0
FBgn0000352	0.841	0	0	0
FBgn0000370	0.157	0	0	0
FBgn0000376	0.434	0	0	0
FBgn0000377	0.244	0	0	0
FBgn0000392	0.247	0	0	0
FBgn0000394	-1.102	0	0	0
FBgn0000395	-1.240	0	0	0
FBgn0000404	0.252	0	0	0
FBgn0000405	0.032	0	0	0
FBgn0000409	-0.460	0	0	0
FBgn0000412	0.360	0	0	0
FBgn0000416	-0.669	0	0	0
FBgn0000426	0.216	0	0	0
FBgn0000447	0.242	0	0	0
FBgn0000454	-0.271	0	0	0
FBgn0000455	0.015	0	0	0
FBgn0000482	-0.072	0	0	0
FBgn0000499	0.231	0	0	0
FBgn0000520	0.551	0	0	0
FBgn0000524	-0.118	0	0	0
FBgn0000536	-1.225	0	0	0
FBgn0000542	-0.753	0	0	0
FBgn0000543	0.669	0	0	0
FBgn0000556	0.250	0	0	0
FBgn0000559	0.177	0	0	0
FBgn0000562	-0.482	0	0	0
FBgn0000565	0.605	0	0	0
FBgn0000566	-1.002	0	0	0
FBgn0000578	-0.393	0	0	0
FBgn0000579	0.034	0	0	0
FBgn0000581	0.320	0	0	0
FBgn0000588	0.251	0	0	0
FBgn0000611	0.322	0	0	0
FBgn0000615	-0.116	0	0	0
FBgn0000617	0.007	0	0	0
FBgn0000618	-0.139	0	0	0
FBgn0000629	0.474	0	0	0
FBgn0000662	0.548	0	0	0
FBgn0000667	-0.043	0	0	0
FBgn0000709	-0.138	0	0	0
FBgn0000711	0.147	0	0	0
FBgn0000719	-0.942	0	0	0
FBgn0000721	0.108	0	0	0
FBgn0000723	0.323	0	0	0
FBgn0000826	-0.835	0	0	0
FBgn0000928	0.183	0	0	0
FBgn0000996	-0.043	0	0	0
FBgn0001079	-0.308	0	0	0
FBgn0001086	0.502	0	0	0
FBgn0001091	-0.073	0	0	0
FBgn0001092	0.135	0	0	0
FBgn0001098	-0.627	0	0	0
FBgn0001104	-0.102	0	0	0
FBgn0001105	0.862	0	0	0
FBgn0001108	-0.866	0	0	0
FBgn0001114	-1.952	0	0	0
FBgn0001123	-0.032	0	0	0
FBgn0001124	-0.338	0	0	0
FBgn0001125	-0.398	0	0	0
FBgn0001128	-0.387	0	0	0
