utr_id	fc	utr8	utr7m8	utr7A1
FBgn0000008	-0.122	0	0	0
FBgn0000017	1.795	1	0	0
FBgn0000018	-0.031	0	0	0
FBgn0000032	0.382	0	0	0
FBgn0000042	-0.255	0	0	0
FBgn0000043	0.202	0	0	0
FBgn0000052	-0.033	0	0	0
FBgn0000053	-0.123	0	0	0
FBgn0000054	0.058	0	0	0
FBgn0000057	-0.156	0	0	0
FBgn0000063	0.125	0	0	0
FBgn0000064	0.126	0	0	0
FBgn0000071	-0.297	0	0	0
FBgn0000077	-0.549	0	0	0
FBgn0000083	0.001	0	0	0
FBgn0000084	-0.291	0	0	0
FBgn0000094	0.871	0	0	0
FBgn0000097	1.509	0	0	0
FBgn0000100	-0.436	0	0	0
FBgn0000109	-0.249	0	0	0
FBgn0000115	-0.286	0	0	0
FBgn0000116	0.594	0	0	0
FBgn0000117	-0.197	0	0	0
FBgn0000119	0.405	0	0	0
FBgn0000139	0.271	0	0	0
FBgn0000140	0.749	0	0	0
FBgn0000147	-0.179	0	0	0
FBgn0000150	-0.401	0	0	0
FBgn0000152	0.063	0	0	0
FBgn0000173	0.927	0	0	0
FBgn0000181	-0.656	0	0	0
FBgn0000183	0.615	0	0	0
FBgn0000212	0.348	0	0	0
FBgn0000221	-0.239	0	0	0
FBgn0000228	0.228	0	0	0
FBgn0000229	0.302	0	0	0
FBgn0000239	0.504	0	0	0
FBgn0000244	0.546	0	0	0
FBgn0000247	0.458	0	0	0
FBgn0000250	0.322	0	0	0
FBgn0000253	1.398	0	0	0
FBgn0000256	0.030	0	0	0
FBgn0000257	-0.421	0	0	0
FBgn0000259	1.683	0	0	0
FBgn0000261	-0.487	0	0	0
FBgn0000276	0.270	0	0	0
FBgn0000277	-0.113	0	0	0
FBgn0000278	0.530	0	0	0
FBgn0000279	0.646	0	0	0
FBgn0000283	1.185	0	0	0
FBgn0000289	1.208	0	0	0
FBgn0000299	-2.588	0	0	0
FBgn0000308	0.662	0	0	0
FBgn0000316	-0.029	0	0	0
FBgn0000317	0.444	0	0	0
FBgn0000318	-0.376	0	0	0
FBgn0000319	0.412	0	0	0
FBgn0000326	-0.185	0	0	0
