utr_id	avg_expr	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1
FBgn0000008	0.000	-0.094	0.575	3990	0.349	876	0.326	307	0	0	0	0	0	1
FBgn0000017	0.000	-1.506	0.583	5172	0.456	739	0.478	404	0	0	0	0	0	0
FBgn0000018	0.000	0.337	0.506	1620	0.469	81	0.226	93	0	0	0	0	0	0
FBgn0000032	0.000	0.098	0.511	1368	0.481	81	0.334	440	0	0	0	0	0	0
FBgn0000042	0.000	-0.434	0.591	1131	0.373	161	0.400	345	0	0	0	0	0	0
FBgn0000043	0.000	0.366	0.554	1131	0.363	135	0.400	360	0	0	0	0	0	0
FBgn0000052	0.000	0.317	0.565	4065	0.597	139	0.241	133	0	0	0	0	0	0
FBgn0000053	0.000	-0.324	0.569	4062	0.461	193	0.267	225	0	0	0	0	0	0
FBgn0000054	0.000	0.130	0.565	825	0.475	198	0.364	645	0	0	0	0	0	0
FBgn0000057	0.000	0.045	0.555	1887	0.516	190	0.336	214	0	0	0	0	0	0
FBgn0000063	0.000	-0.395	0.510	2019	0.330	100	0.273	22	0	0	0	1	0	0
FBgn0000064	0.000	0.193	0.609	1092	0.375	259	0.424	396	0	0	0	0	1	2
FBgn0000071	0.000	0.713	0.593	1026	0.434	387	0.412	420	0	0	0	0	0	0
FBgn0000077	0.000	-0.386	0.546	855	0.382	275	0.281	292	0	0	0	0	0	0
FBgn0000083	0.000	0.424	0.590	975	0.351	94	0.325	388	0	0	0	0	0	0
FBgn0000084	0.000	0.302	0.630	966	0.470	134	0.449	147	0	0	0	0	0	0
FBgn0000094	0.000	0.228	0.425	174	0.378	37	0.230	61	0	0	0	0	0	0
FBgn0000097	0.000	0.488	0.576	2199	0.457	1056	0.369	738	0	0	0	0	0	0
FBgn0000100	0.000	0.273	0.593	954	0.470	202	0.523	172	0	0	0	0	0	0
FBgn0000109	0.000	-0.456	0.545	549	0.383	107	0.319	141	0	0	0	0	0	0
FBgn0000115	0.000	-0.034	0.586	543	0.380	142	0.371	178	0	0	0	0	0	0
