utr_id	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr5p8	utr5p7m8	utr5p7A1	utr5p6	utr5po6	utr5p6A1	orf8	orf7m8	orf7A1	orf6	orfo6	orf6A1	utr8C	utr8G	utr8T	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1	utr5
FBgn0000008	-0.518	0.575	3990	0.349	876	0.326	307	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
FBgn0000017	0.525	0.583	5172	0.456	739	0.344	6908	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	2
FBgn0000018	-0.345	0.506	1620	0.469	81	0.237	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000032	0.165	0.511	1368	0.481	81	0.334	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
FBgn0000042	-0.058	0.591	1131	0.373	161	0.403	1571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000043	-0.004	0.554	1131	0.363	135	0.397	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000052	-0.314	0.565	4065	0.597	139	0.241	133	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0000053	0.141	0.569	4062	0.461	193	0.246	463	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0000054	-0.178	0.565	825	0.475	198	0.363	645	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000057	0.146	0.555	1887	0.516	190	0.332	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000063	0.462	0.51	2019	0.33	100	0.273	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000064	-0.215	0.609	1092	0.375	259	0.424	396	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
FBgn0000071	-2.656	0.593	1026	0.434	387	0.412	420	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
FBgn0000077	-0.196	0.546	855	0.382	275	0.281	292	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000083	-0.32	0.59	975	0.351	94	0.325	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000084	-2.19	0.63	966	0.47	134	0.456	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
FBgn0000094	0.793	0.425	174	0.378	37	0.278	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000097	-0.098	0.576	2199	0.457	1056	0.35	1681	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1
FBgn0000100	-0.16	0.593	954	0.47	202	0.517	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000109	0.627	0.545	549	0.383	107	0.298	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FBgn0000115	0.169	0.586	543	0.38	142	0.371	178	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0000116	-0.436	0.578	1689	0.421	330	0.428	495	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
FBgn0000117	0.18	0.566	2532	0.479	259	0.431	429	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000119	-0.915	0.531	5037	0.466	191	0.289	796	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	1	0	0
FBgn0000139	-0.375	0.548	1671	0.471	104	0.299	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000140	0.416	0.515	5865	0.401	192	0.253	281	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
FBgn0000147	0.36	0.541	1236	0.458	168	0.249	173	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000150	-0.009	0.606	507	0.485	134	0.337	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000152	-0.516	0.537	1941	0.404	455	0.408	179	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
FBgn0000173	-0.477	0.564	456	0.427	358	0.295	1189	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
