utr_id	fc	orf_gc	orf_len	utr5_gc	utr5_len	utr3_gc	utr3_len	utr5p8	utr5p7m8	utr5p7A1	utr5p6	utr5po6	utr5p6A1	orf8	orf7m8	orf7A1	orf6	orfo6	orf6A1	utr8C	utr8G	utr8T	utr8	utr7m8	utr7A1	utr6	utro6	utr6A1	utr5	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2.fold_change.	test_stat	p_value	q_value	significant
FBgn0000008	-0.365539218353004	0.575	3990	0.349	876	0.326	307	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	FBgn0000008	a-RA,a-RB,a-RC,a-RD	chr2R:22136967-22174691	mock	miR4	OK	5.48941	4.16273	-0.399121	-0.625319	0.45765	0.999688	no
FBgn0000017	-0.252707045113496	0.583	5172	0.456	739	0.344	6908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	7	3	FBgn0000017	Abl-RA,Abl-RB,Abl-RC,Abl-RD,Abl-RE,Abl-RF,Abl-RG,Abl-RH,Abl-RI,Abl-RJ	chr3L:16615865-16647882	mock	miR4	OK	10.8973	7.31435	-0.575163	-1.58364	0.05205	0.903538	no
FBgn0000018	0.126415879838569	0.506	1620	0.469	81	0.237	93	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000018	abo-RA	chr2L:10973442-10975293	mock	miR4	OK	70.6681	78.8182	0.15747	0.579675	0.474	0.999688	no
FBgn0000032	0.323060264685116	0.511	1368	0.481	81	0.334	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000032	Acph-1-RA,Acph-1-RB	chr3R:29991143-29993411	mock	miR4	OK	21.3748	30.4174	0.508985	1.43626	0.07725	0.999688	no
FBgn0000042	-0.083135539581308	0.591	1131	0.373	161	0.403	1571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	FBgn0000042	Act5C-RA,Act5C-RB,Act5C-RC,Act5C-RD,Act5C-RE	chrX:5900860-5905399	mock	miR4	OK	2233.6	2223.87	-0.00630051	-0.0310195	0.96815	0.999688	no
FBgn0000043	-0.0740047003875089	0.554	1131	0.363	135	0.397	360	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000043	Act42A-RA	chr2R:6013909-6015689	mock	miR4	OK	2923.58	2856.8	-0.0333393	-0.168976	0.8321	0.999688	no
FBgn0000052	0.0420417661599766	0.565	4065	0.597	139	0.241	133	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	FBgn0000052	ade2-RA,ade2-RB,ade2-RC	chr2L:6038116-6046050	mock	miR4	OK	60.6734	62.4278	0.0411242	0.166783	0.83245	0.999688	no
FBgn0000053	0.0993242093005789	0.569	4062	0.461	193	0.246	463	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FBgn0000053	ade3-RA,ade3-RB,ade3-RC	chr2L:7013395-7023898	mock	miR4	OK	63.3463	67.3579	0.0885874	0.27938	0.7288	0.999688	no
FBgn0000054	-0.0331734026455708	0.565	825	0.475	198	0.363	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	FBgn0000054	Adf1-RA,Adf1-RB,Adf1-RC	chr2R:6662264-6668085	mock	miR4	OK	55.9014	55.7389	-0.00419899	-0.0143434	0.9855	0.999688	no
FBgn0000057	-0.0310779199552881	0.555	1887	0.516	190	0.332	214	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	FBgn0000057	adp-RA,adp-RB	chr2R:18151703-18154060	mock	miR4	OK	29.3553	30.0737	0.0348816	0.106424	0.89375	0.999688	no
FBgn0000063	0.0815959462140329	0.51	2019	0.33	100	0.273	22	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	FBgn0000063	Mps1-RA,Mps1-RB	chr3R:17671270-17682515	mock	miR4	OK	17.223	14.9601	-0.203219	-0.231877	0.7128	0.999688	no
