utr_id	fc	utr8	utr7m8	utr7A1
FBgn0000008	0.671	0	0	0
FBgn0000017	-0.684	1	0	0
FBgn0000018	-0.146	0	0	0
FBgn0000032	-0.060	0	0	0
FBgn0000042	-0.343	0	0	0
FBgn0000043	-0.115	0	0	0
FBgn0000052	0.642	0	0	0
FBgn0000053	0.426	0	0	0
FBgn0000054	-0.051	0	0	0
FBgn0000057	-0.590	0	0	0
FBgn0000063	0.319	0	0	0
FBgn0000064	0.178	0	0	0
FBgn0000071	0.922	0	0	0
FBgn0000077	-0.335	0	0	0
FBgn0000083	-0.454	0	0	0
FBgn0000084	-1.031	0	0	0
FBgn0000094	0.029	0	0	0
FBgn0000097	0.116	0	0	0
FBgn0000100	0.392	0	0	0
FBgn0000109	-0.498	0	0	0
FBgn0000115	-0.336	0	0	0
FBgn0000116	-1.655	0	0	0
FBgn0000117	-0.238	0	0	0
FBgn0000119	0.591	0	0	0
FBgn0000139	0.951	0	0	0
FBgn0000140	0.114	0	0	0
FBgn0000147	0.228	0	0	0
FBgn0000150	0.189	0	0	0
FBgn0000152	-0.344	0	0	0
FBgn0000173	0.127	0	0	0
FBgn0000181	0.329	0	0	0
FBgn0000183	-0.494	0	0	0
FBgn0000212	-0.112	0	0	0
FBgn0000221	-1.868	0	0	0
FBgn0000228	0.154	0	0	0
FBgn0000229	0.079	0	0	0
FBgn0000239	0.248	0	0	0
FBgn0000244	-0.076	0	0	0
FBgn0000247	0.164	0	0	0
FBgn0000250	-0.170	0	0	0
FBgn0000253	-0.271	0	0	0
FBgn0000256	-0.787	0	0	0
FBgn0000257	-0.325	0	0	0
FBgn0000259	-0.038	0	0	0
FBgn0000261	0.070	0	0	0
FBgn0000276	-1.084	0	0	0
FBgn0000277	-1.378	0	0	0
FBgn0000278	-0.767	0	0	0
FBgn0000279	-0.035	0	0	0
FBgn0000283	-0.007	0	0	0
FBgn0000289	0.251	0	0	0
FBgn0000299	-0.204	0	0	0
FBgn0000308	0.060	0	0	0
FBgn0000316	0.403	0	0	0
FBgn0000317	-0.342	0	0	0
FBgn0000318	-0.217	0	0	0
FBgn0000319	-0.227	0	0	0
FBgn0000326	-0.019	0	0	0
FBgn0000330	-0.119	0	0	0
FBgn0000339	0.020	0	0	0
FBgn0000352	0.847	0	0	0
FBgn0000370	0.283	0	0	0
FBgn0000376	0.269	0	0	0
FBgn0000377	0.192	0	0	0
FBgn0000392	0.227	0	0	0
FBgn0000394	-0.798	0	0	0
FBgn0000395	-1.270	0	0	0
FBgn0000404	0.181	0	0	0
FBgn0000405	-0.067	0	0	0
FBgn0000409	-0.298	0	0	0
FBgn0000412	0.186	0	0	0
FBgn0000416	-0.664	0	0	0
FBgn0000426	0.286	0	0	0
FBgn0000447	0.214	0	0	0
FBgn0000454	0.160	0	0	0
FBgn0000455	-0.017	0	0	0
FBgn0000482	0.185	0	0	0
FBgn0000499	0.064	0	0	0
FBgn0000520	0.363	0	0	0
FBgn0000524	0.028	0	0	0
FBgn0000536	-1.163	0	0	0
FBgn0000542	-0.824	0	0	0
FBgn0000543	0.558	0	0	0
FBgn0000556	0.135	0	0	0
FBgn0000559	0.359	0	0	0
FBgn0000562	-0.507	0	0	0
FBgn0000565	0.824	0	0	0
FBgn0000566	-0.506	0	0	0
FBgn0000578	-0.708	0	0	0
FBgn0000579	0.195	0	0	0
FBgn0000581	0.018	0	0	0
FBgn0000588	0.635	0	0	0
FBgn0000611	0.113	0	0	0
FBgn0000615	-0.000	0	0	0
FBgn0000617	0.124	0	0	0
FBgn0000618	-0.251	0	0	0
FBgn0000629	0.278	0	0	0
FBgn0000662	0.368	0	0	0
FBgn0000667	-0.032	0	0	0
FBgn0000709	-0.076	0	0	0
FBgn0000711	0.030	0	0	0
FBgn0000719	-1.157	0	0	0
FBgn0000721	0.122	0	0	0
FBgn0000723	0.629	0	0	0
FBgn0000826	-1.511	0	0	0
FBgn0000928	-0.067	0	0	0
FBgn0000996	-0.031	0	0	0
FBgn0001079	-0.153	0	0	0
FBgn0001086	0.506	0	0	0
FBgn0001091	0.052	0	0	0
FBgn0001092	0.218	0	0	0
FBgn0001098	-0.144	0	0	0
FBgn0001104	-0.022	0	0	0
FBgn0001105	0.604	0	0	0
FBgn0001108	-0.888	0	0	0
FBgn0001114	-1.565	0	0	0
FBgn0001123	-0.165	0	0	0
FBgn0001124	-0.406	0	0	0
FBgn0001125	-0.041	0	0	0
FBgn0001128	-0.101	0	0	0
FBgn0001133	0.132	0	0	0
FBgn0001139	0.432	0	0	0
FBgn0001142	-0.923	0	0	0
FBgn0001145	-2.563	0	0	0
FBgn0001148	-0.466	0	0	0
FBgn0001149	0.062	0	0	0
FBgn0001168	-0.110	0	0	0
FBgn0001179	0.685	0	0	0
FBgn0001185	0.098	0	0	0
FBgn0001186	-0.549	0	0	0
FBgn0001189	0.059	0	0	0
FBgn0001197	0.215	0	0	0
FBgn0001202	-1.338	0	0	0
FBgn0001206	0.146	0	0	0
FBgn0001215	0.352	0	0	0
FBgn0001218	-0.808	0	0	0
FBgn0001220	-0.087	0	0	0
FBgn0001222	0.283	0	0	0
FBgn0001223	-1.281	0	0	0
FBgn0001224	-0.674	0	0	0
FBgn0001225	-1.005	0	0	0
FBgn0001226	-0.233	0	0	0
FBgn0001230	-1.189	0	0	0
FBgn0001233	0.302	0	0	0
FBgn0001247	0.075	0	0	0
FBgn0001248	-0.205	0	0	0
FBgn0001257	-0.075	0	0	0
FBgn0001276	-0.194	0	0	0
FBgn0001280	-0.247	0	0	0
FBgn0001291	-0.979	0	0	0
FBgn0001297	-0.510	0	0	0
FBgn0001301	0.091	0	0	0
